레벨,최소 난이도합,비고,소나제약
1,1,,
2,2,,
3,3,,
4,4,,
5,5,,
6,5,한 명 한테 모든 과제 할당,
7,6,,
8,,"임무중 어느 한 순간이라도, 자신이 딴 색깔 카드 중 9 카드가 다른 어느 멤버보다 2장 이상 많아서는 안됨",
9,7,,"해류 (빨간색, 위/중간/아래 표기 아님)"
10,4,한 명 한테 모든 과제 할당,본 게임 시작 전에만 가능
11,8,,질소마취 (랜덤 2명은 소나 사용 불가)
12,,각 트릭을 잠수함 또는 분홍색깔 카드로 시작할 수 없음,
13,5,한 명 한테 모든 과제 할당,본 게임 시작 전에만 가능
14,6,,"해류 (빨간색, 위/중간/아래 표기 아님)"
15,6,,질소마취 (랜덤 2명은 소나 사용 불가)
16,6,,소나 불가
17,9,"과제 자유 선택 (턴제가 아니라, 선착순으로 가져가고싶은 과제 선택해서 가져감)",
18,9,,
19,9,가장 난이도 높은 과제 1개는 무조건 선장이 가져감,
20,10,,"1/3확률로 정상, 1/3확률로 해류, 1/3확률로 소나 불가"
21,,"임무중 어느 한 순간이라도, 자신이 딴 색깔 카드 중 1 카드가 다른 어느 멤버보다 2장 이상 많아서는 안됨","1/3확률로 정상, 1/3확률로 해류, 1/3확률로 소나 불가"
22,11,,"1/3확률로 정상, 1/3확률로 해류, 1/3확률로 소나 불가"
23,,첫 트릭을 딴 사람은 두 번째 트릭부터 항상 다른 멤버보다 많은 트릭을 가지고 있어야 함,두번째 트릭부터 통신 허용
24,12,,"1/3확률로 정상, 1/3확률로 해류, 1/3확률로 소나 불가"
25,12,과제 턴에서 사령관은 과제 가져가지 않음,"1/3확률로 정상, 1/3확률로 해류, 1/3확률로 소나 불가"
26,12,,"1/3확률로 정상, 1/3확률로 해류, 1/3확률로 소나 불가"
27,,노랑 5 카드는 마지막 트릭의 마지막으로 제출하는 카드여야 함. 3명인 경우 해당 카드를 안내고 남길 수 없음.,"1/3확률로 정상, 1/3확률로 해류, 1/3확률로 소나 불가"
28,14,"과제 자유 선택 (턴제가 아니라, 선착순으로 가져가고싶은 과제 선택해서 가져감)",
29,15,"과제 자유 선택 (턴제가 아니라, 선착순으로 가져가고싶은 과제 선택해서 가져감)",
30,16,"과제 자유 선택 (턴제가 아니라, 선착순으로 가져가고싶은 과제 선택해서 가져감)",
31,17,"과제 자유 선택 (턴제가 아니라, 선착순으로 가져가고싶은 과제 선택해서 가져감)",
32,,"미션카드 중 '트릭 하나도 안 따기', '정확히 세 트릭만 따기, 그 세 트릭은 연속이어야 함', '두 트릭 연속으로 따기', '1번째 트릭과 마지막 트릭' 4가지 미션카드로 고정됨",
