미션카드,3인 난이도,4인 난이도,5인 난이도
색깔9 카드 따지 않기,1,1,1
1~2번째 트릭 모두 따기,1,1,1
잠수함 3 카드 따기,1,1,1
초록6 카드 따기,1,1,1
노랑1 카드 따기,1,1,1
분홍 카드를 초록 카드보다 많이 따기,1,1,1
파랑4 카드 따기,1,1,1
두 트릭 연속으로 따기,1,1,1
분홍3 카드 따기,1,1,1
노랑 카드를 파랑 카드보다 많이 따기,1,1,1
1번째 트릭 따기,1,1,1
잠수함 카드 하나도 안 따기,1,1,1
1~4번째 트릭 하나도 안 따기,1,2,3
색깔5 카드 따지 않기,1,2,2
1~3번째 트릭 하나도 안 따기,1,2,2
색깔7 카드를 내서 색깔 5 카드 따기,1,2,2
초록 카드나 분홍 카드로 트릭 시작하지 않기,2,1,1
색깔1 카드 따지 않기,2,2,2
정확하게 두 트릭 따기,2,2,2
색깔7 카드를 두 개 이상 따기,2,2,2
분홍 카드 안 따기,2,2,2
분홍1 카드와 초록7 카드 모두 따기,2,2,2
사령관보다 적은 수의 트릭 따기,2,2,2
노랑 카드 안 따기,2,2,2
초록 카드 안 따기,2,2,2
초록5 카드와 파랑8 카드 모두 따기,2,2,3
사령관보다 많은 수의 트릭 따기,2,2,3
분홍5와 노랑6 모두 따기,2,2,3
분홍8과 파랑5 모두 따기,2,2,3
그 누구보다 트릭 적게 따기,2,2,3
파랑6과 노랑7 모두 따기,2,2,3
그 누구보다 트릭 많이 따기,2,3,3
1~5번째 트릭 하나도 안 따기,2,3,3
분홍 카드 다섯 장 이상 따기,2,3,3
색깔9 카드 정확하게 두 장만 따기,2,3,3
분홍 카드와 노랑 카드가 같은 장수만큼 나온 트릭 따기,2,3,3
색깔6 카드 내서 트릭 따기,2,3,3
분홍9 카드와 노랑8 카드 모두 따기,2,3,3
초록 카드와 노랑 카드가 같은 장수만큼 나올 트릭 따기,2,3,3
노랑9 카드와 파랑7 카드 모두 따기,2,3,3
"파랑1, 파랑2, 파랑3 모두 따기",2,3,3
"모든 카드값이 7보다 작은 트릭 따기 (단, 트릭에 잠수함 포함되면 안됨)",2,3,3
색깔6 카드 내서 다른 색깔6 카드 따기,2,3,4
모든 카드값이 5보다 큰 트릭 따기,2,3,4
모든 색깔 카드를 적어도 1장씩 따기,2,3,4
세 트릭 연속으로 따기,2,3,4
1~3번째 트릭 모두 따기,2,3,4
색깔5 카드 내서 트릭 따기,2,3,4
정확하게 네 트릭 따기,2,3,5
오직 홀수 카드로만 구성된 트릭 따기,2,4,5
오직 짝수 카드로만 구성된 트릭 따기,2,5,6
마지막 트릭 따기,2,3,3
정확하게 한 트릭 따기,3,2,2
연속으로 투 트릭 따지 않기,3,2,2
"내가 딸 트릭 개수 입력 후, 정확하게 그 트릭 만큼 따기 (트릭 개수 모두에게 공개 후 시작)",3,3,2
색깔8 카드와 색깔9 카드 따지 않기,3,3,3
"정확하게 두 트릭 따기, 두 트릭은 연속이어야 함",3,3,3
잠수함 한 장만 따기,3,3,3
"잠수함 한 장만 따기, 잠수함1 카드 따기",3,3,3
색깔1 카드와 색깔2 카드와 색깔3 카드 따지 않기,3,3,3
노랑 카드를 일곱 장 이상 따기,3,3,3
"노랑 카드, 초록 카드 안 따기",3,3,3
"분홍 카드, 파랑 카드 안 따기",3,3,3
잠수함 카드로 분홍7 카드 따기,3,3,3
"잠수함 한 장만 따기, 잠수함2 카드 따기",3,3,3
잠수함 카드로 초록9 카드 따기,3,3,3
분홍 카드 한 장만 따기,3,3,4
잠수함 카드 두 장만 따기,3,3,4
"카드값 총합이 8보다 적은 트릭 따기 (단, 트릭에 잠수함 포함되면 안됨)",3,-,-
"카드값 총합이 12보다 적은 트릭 따기 (단, 트릭에 잠수함 포함되면 안됨)",-,3,-
"카드값 총합이 16보다 적은 트릭 따기 (단, 트릭에 잠수함 포함되면 안됨)",-,-,4
"카드값 총합이 22 또는 23인 트릭 따기 (단, 트릭에 잠수함 포함되면 안됨)",3,3,4
"정확하게 세 트릭 따기, 세 트릭은 연속이어야 함",3,3,4
"카드값 총합이 23보다 큰 트릭 따기 (단, 트릭에 잠수함 포함되면 안됨)",3,-,-
"카드값 총합이 28보다 큰 트릭 따기 (단, 트릭에 잠수함 포함되면 안됨)",-,3,-
"카드값 총합이 31보다 큰 트릭 따기 (단, 트릭에 잠수함 포함되면 안됨)",-,-,4
색깔 6 카드 세 장만 따기,3,4,4
"초록3 카드, 노랑4 카드, 노랑5 카드 따기",3,4,4
1번째 트릭과 마지막 트릭 따기,3,4,4
파랑 카드 두 장만 따기,3,4,4
잠수함 카드 세 장만 따기,3,4,4
초록 카드 두 장만 따기,3,4,4
색깔 9 카드 세 장 이상 따기,3,4,5
색깔 3 카드로 트릭 따기,3,4,5
다른 모든 사람들이 딴 트릭 총 개수보다 더 많은 트릭 따기,3,4,5
네 가지 색깔 카드 중 적어도 한 색깔의 모든 카드 다 따기,3,4,5
모든 색깔 3 카드 따기,3,4,5
색깔 2 카드로 트릭 따기,3,4,5
마지막 트릭에 초록 2 카드 따기,3,4,5
색깔 5 카드 세 장 이상 따기,3,4,5
색깔 4 카드 내서 색깔 8 카드 따기,3,4,5
"트릭을 노랑 카드, 분홍 카드, 파랑 카드로 시작하지 않기",4,3,3
오직 1번째 트릭만 따기,4,3,3
트릭 하나도 안 따기,4,3,3
사령관과 같은 수 트릭 따기 (사령관은 이 미션 선택 불가),4,3,3
"내가 딸 트릭 개수 입력 후, 정확하게 그 트릭 만큼 따기 (트릭 개수는 게임 끝나고 공개)",4,3,3
"분홍 카드, 초록 카드 정확하게 한 장씩 따기",4,4,4
오직 마지막 트릭만 따기,4,4,4
분홍 카드와 노랑 카드 같은 장수만큼 따기,4,4,4
색깔 9 카드 모두 따기,4,5,6
